name,review_count,rating,distance,price,latitude,longitude
Pasha Shisha Lounge,12.0,3.0,224.37105564131863,,43.656729,-79.382736
Mapo Pocha Soju Bar,3.0,5.0,165.9159065096131,,43.664467,-79.414783
Pour Boy,65.0,3.5,117.94386411854146,$,43.664467,-79.414783
Tomoya Bar,2.0,4.0,247.10493783617974,,43.664467,-79.414783
Insomnia Restaurant & Lounge,1020.0,4.0,346.4745854459776,$$,43.664467,-79.414783
Mallo,44.0,5.0,325.91141770277267,$,43.664467,-79.414783
Civil Liberties,53.0,4.5,873.7538367411804,$$,43.664467,-79.414783
Echo Karaoke & Lounge,10.0,4.0,227.045643051839,,43.664467,-79.414783
El Pocho Antojitos Bar,84.0,4.5,585.5763100589309,$$,43.664467,-79.414783
Midnight Market,11.0,4.5,1048.1751705296433,,43.664467,-79.414783
Northwood,122.0,4.0,625.318917981224,$$,43.664467,-79.414783
Coda,47.0,3.5,287.59104634409596,$$,43.664467,-79.414783
Slanted Door,15.0,4.0,498.1812607463218,$,43.664467,-79.414783
Japas,52.0,3.0,223.5260687857248,$$,43.664467,-79.414783
Paupers Pub,163.0,3.0,388.89885324395635,$$,43.664467,-79.414783
Paradise Grapevine,14.0,5.0,734.9128111538786,,43.664467,-79.414783
Snakes & Lattes Annex,356.0,4.0,134.14083717621534,$$,43.664467,-79.414783
Crafty Coyote,69.0,3.5,500.2494576860826,$$,43.664467,-79.414783
Amnesia Bar & Grill,15.0,3.0,322.0172006426365,$$,43.664467,-79.414783
Tallboys Craft Beer House,101.0,4.0,758.1150806929934,$$,43.664467,-79.414783
Christie Pits Pub,6.0,4.5,672.4708073631418,$$,43.664467,-79.414783
Miracle,14.0,4.5,869.637672927416,,43.664467,-79.414783
KINKA IZAKAYA ANNEX,506.0,4.0,340.5592293205576,$$,43.664467,-79.414783
Her Father's Cider Bar & Kitchen,191.0,4.5,856.3421813832581,$$,43.664467,-79.414783
The Korean Kitchen,33.0,3.5,235.230723838409,$$,43.664467,-79.414783
Bar Raval,321.0,4.0,1034.9411597210153,$$$,43.664467,-79.414783
Voodoo Child,142.0,4.0,1110.3832140865404,$$,43.664467,-79.414783
Bangarang,14.0,4.5,988.0065211992948,$,43.664467,-79.414783
Clinton's,2.0,5.0,228.64015410534725,,43.664467,-79.414783
El Furniture Warehouse - Bloor St,330.0,3.5,563.9072221202983,$,43.664467,-79.414783
Labyrinth Lounge,57.0,3.0,594.0711338754522,$,43.664467,-79.414783
Wasted Youth,3.0,3.5,740.6682324557813,,43.664467,-79.414783
Kilgour's Bar Meets Grill,24.0,3.5,525.7299959626099,$$,43.664467,-79.414783
Harbord House,112.0,3.5,852.7245748992892,$$,43.664467,-79.414783
Mrs. Robinson,24.0,4.0,1001.2576583785014,,43.664467,-79.414783
Stray,2.0,5.0,994.8271754680999,,43.664467,-79.414783
Bassline Music Bar,13.0,3.5,837.4126681472515,$,43.664467,-79.414783
The Dog and Tiger Kitchen and Bar,8.0,4.5,1033.4429558429706,$$,43.664467,-79.414783
Sampo Japanese Bar and Restaurant,1.0,5.0,1139.0311128623016,,43.664467,-79.414783
QueenBee,5.0,4.5,1024.9207037626768,,43.664467,-79.414783
Freezone JaYuGongGan Karaoke,30.0,3.5,289.0576987363969,$,43.664467,-79.414783
Lee's Palace,57.0,3.5,440.2439666668184,$,43.664467,-79.414783
Monica's Bar and Grill,9.0,2.0,884.4212217090338,$,43.664467,-79.414783
East of Brunswick Pub and Kitchen,36.0,3.5,907.9407921413322,$$,43.664467,-79.414783
The Annex,3.0,3.5,580.5816832853031,,43.664467,-79.414783
District 3 Viet Cafe,16.0,4.5,989.0947440724606,,43.664467,-79.414783
Praise Bottle Shop,3.0,4.5,727.0920078619775,,43.664467,-79.414783
Dance Cave,47.0,3.0,440.2439666668184,$$,43.664467,-79.414783
The Annex Commons,7.0,4.5,580.5816832853031,,43.664467,-79.414783
Annex Billiards Club,16.0,3.5,532.5064219362222,$$,43.664467,-79.414783
LoPan,26.0,4.0,1036.1332748951286,$$$,43.664467,-79.414783
C Suite,3.0,5.0,634.9931425399039,,43.675492,-79.388858
The Oxley,182.0,4.0,643.5698370095942,$$,43.675492,-79.388858
Skylight Rooftop Bar,14.0,4.0,615.6956368576849,$$$$,43.675492,-79.388858
Boxcar Social,156.0,4.0,725.3605590753202,$,43.675492,-79.388858
The Pilot Tavern,138.0,3.5,491.9815051718762,$$,43.675492,-79.388858
D Bar,96.0,3.5,420.8202193367932,$$$,43.675492,-79.388858
Alobar Yorkville,64.0,4.0,722.4901048323263,,43.675492,-79.388858
Crown & Dragon Pub,160.0,3.5,210.46841666436757,$$,43.675492,-79.388858
The Rebel House,123.0,3.5,259.1595252848238,$$,43.675492,-79.388858
Bar Reyna,145.0,3.5,717.2524405300016,$$,43.675492,-79.388858
Carens Rosedale,46.0,2.5,403.72675271328484,$$,43.675492,-79.388858
Bar Centrale,6.0,3.5,519.8049023808476,$$,43.675492,-79.388858
Hemingway's Restaurant,304.0,3.0,684.3921733443988,$$,43.675492,-79.388858
Robot Boil House,22.0,4.0,99.43293877168927,$$$,43.675492,-79.388858
Cibo Wine Bar,185.0,3.0,677.9599492427759,$$$,43.675492,-79.388858
Writers Room Bar,12.0,3.5,851.873464740657,,43.675492,-79.388858
The Quail: A Firkin Pub,33.0,3.0,347.13270642108165,$$,43.675492,-79.388858
Dalbam,1.0,5.0,778.0680470725314,,43.675492,-79.388858
El Tenedor,5.0,5.0,63.4256416794947,,43.675492,-79.388858
7 West Cafe,436.0,3.5,792.6288078123937,$$,43.675492,-79.388858
The Bishop And Belcher,125.0,3.5,770.5749386595356,$$,43.675492,-79.388858
Storm Crow Manor,147.0,4.0,1132.1950547794427,$$,43.675492,-79.388858
Playa Cabana,474.0,4.0,992.6443991615607,$$,43.675492,-79.388858
Public School,8.0,4.0,617.0601314430655,,43.675492,-79.388858
Maison Selby,114.0,4.0,1091.7966154168048,,43.675492,-79.388858
Parc Ave,4.0,2.5,768.2009259504176,,43.675492,-79.388858
Ehwa J Bar,64.0,4.0,901.4750514936331,$$,43.675492,-79.388858
Enigma,25.0,4.0,746.6446663001585,,43.675492,-79.388858
70 Down,25.0,2.0,462.7361063301237,$$,43.675492,-79.388858
Brewhaha,15.0,4.0,977.6384239592431,$$,43.675492,-79.388858
Jack Astor’s,99.0,3.0,531.2262991879462,$$,43.675492,-79.388858
Artful Dodger Pub,90.0,3.5,894.9100671674311,$$,43.675492,-79.388858
156 Cumberland,23.0,4.5,713.4391638201225,,43.675492,-79.388858
Figures,88.0,3.5,599.662073615973,$$$,43.675492,-79.388858
Su Karaoke Bar,1.0,5.0,876.5656579631511,,43.675492,-79.388858
STK Steakhouse,224.0,3.5,713.3575743202991,$$$$,43.675492,-79.388858
Duke of York,135.0,3.5,980.1052261768309,$$,43.675492,-79.388858
The Fortunate Fox,41.0,3.5,1309.6876470494842,,43.675492,-79.388858
The Bedford Academy,121.0,3.5,943.7746679897366,$$,43.675492,-79.388858
Sofia,2.0,3.0,582.0435870327766,,43.675492,-79.388858
holts café,55.0,3.5,574.8651045883955,$$,43.675492,-79.388858
Eastern Bloc Vapes,2.0,4.5,721.8621466507126,$$,43.675492,-79.388858
Alternity,2.0,4.5,1317.2308886667947,,43.675492,-79.388858
Koerner Hall,13.0,5.0,1003.6209066403009,$$,43.675492,-79.388858
The Draft House,36.0,3.5,934.4356591611953,$$,43.675492,-79.388858
David Rocco Bar Aperitivo,6.0,2.5,597.5581412070894,,43.675492,-79.388858
Proof The Vodka Bar,35.0,3.0,954.0825171188545,$$,43.675492,-79.388858
Firkin on Bay Street,20.0,3.0,932.5821092334044,$$,43.675492,-79.388858
Mimi Chinese,52.0,4.0,768.5507846940981,,43.675492,-79.388858
Fionn MacCool's Irish Pub,37.0,3.0,805.5451342445673,$$,43.675492,-79.388858
The Oxley,182.0,4.0,553.9309746610323,$$,43.674991,-79.396273
C Suite,3.0,5.0,620.8660465406822,,43.674991,-79.396273
Boxcar Social,156.0,4.0,842.883244161256,$,43.674991,-79.396273
Alobar Yorkville,64.0,4.0,594.025446383859,,43.674991,-79.396273
Bar Reyna,145.0,3.5,609.4965818080267,$$,43.674991,-79.396273
Parc Ave,4.0,2.5,180.45177010014032,,43.674991,-79.396273
Playa Cabana,474.0,4.0,409.3277197634617,$$,43.674991,-79.396273
The Pilot Tavern,138.0,3.5,768.8257019767622,$$,43.674991,-79.396273
