station,latitude,longitude,slots,free_bikes,ll
St Clair Ave W / Winona Dr - SMART,43.680466,-79.432522,11,5,"43.680466,-79.432522"
Bay St / Wellesley St W,43.664088,-79.387095,51,32,"43.664088,-79.387095"
Humberside Grounds - SMART,43.65917,-79.46997,20,7,"43.65917,-79.46997"
Bloor St E / Huntley St,43.671535,-79.379173,16,6,"43.671535,-79.379173"
Wellington St W / York St,43.646734,-79.38301,23,11,"43.646734,-79.38301"
Dalton Rd / Bloor St W,43.6662942,-79.4066433,15,4,"43.6662942,-79.4066433"
Davenport Rd / Christie St,43.675278,-79.423889,27,1,"43.675278,-79.423889"
King St / Jordan St - SMART,43.648928,-79.378623,11,8,"43.648928,-79.378623"
George St / King St E,43.6509552,-79.3707,15,7,"43.6509552,-79.3707"
E.T. Seton Park (Eglinton Ave E / Leslie St),43.715951,-79.351246,27,1,"43.715951,-79.351246"
Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,27,24,"43.665645,-79.304711"
King St W / Charlotte St,43.645572,-79.39399,23,16,"43.645572,-79.39399"
Jarvis St / Richmond St E,43.652777,-79.372637,19,14,"43.652777,-79.372637"
Symington Ave / Dupont St - SMART,43.665538,-79.451263,15,9,"43.665538,-79.451263"
King St E / Jarvis St,43.650325,-79.372287,25,6,"43.650325,-79.372287"
1199 Bay St,43.66943,-79.38915,15,9,"43.66943,-79.38915"
